"","recipe_id","category","serving_size_quantity","preparation_time","baking_time","difficulty","type","cooking_skills","age_of_creator","co2emissions","nr_adopters","mean_rating","nr_comments","age_in_weeks"
"27","018xxvxk-3jdhm-330474-dbeit-vxpuah2z","Drinks",10,NA,60,NA,"vegetarian","chefcook",9,756.6,2,2.5,5,1706
"28","0197mijm-a4sb5-394675-onkqp-vowr6e1g",NA,8,9,73,"advanced","vegetarian","beginner",82,442.7,NA,NA,2,1384
"29","01abm4hq-h2jf0-105185-efwhl-1oqmt2kq",NA,27,101,128,"advanced","vegetarian","amateurchef",38,NA,1,3,5,2500
"30","01alyeky-c8c12-470384-nen0l-49qkgog2",NA,40,51,113,"medium","meat","chefcook",-29,17.52,NA,NA,4,1782
"31","01bds5n7-h8s0b-334616-ifpyd-7sl0za20","Starters",29,33,12,"easy","vegan","amateurchef",11,NA,2,2.5,2,1832
"32","01bvbh69-84t7h-650551-31tyj-owdczort","Soups",43,98,20,"medium","vegetarian","advanced",18,269.77,4,2.5,4,242
"33","01gbv6xb-72ujt-021755-ee66j-bz53i15d","Baking - savoury",NA,42,132,"medium","meat","chefcook",69,NA,NA,NA,1,889
"34","01hbgg47-ggskp-299888-n1f0m-bvycbzxo","Side dishes",NA,122,55,"easy","meat","beginner",68,547.48,NA,NA,1,520
"35","01kh3esh-07dlw-294834-jonqc-p8wgh3ls","Sauces, dips & spreads",16,91,32,"advanced","fish","chefcook",-11,331.76,2,1.5,1,366
"36","01mery8k-jgckn-219710-1soof-ighp03w2","Sauces, dips & spreads",18,28,30,NA,"vegan","amateurchef",-11,433.52,1,2,3,1112
"37","01npn7l5-1tts8-635469-eola0-rogjygtb","Starters",NA,73,NA,NA,"vegetarian","chefcook",17,13.8,1,2,3,300
"38","01p3ths0-mozqc-148452-e55yc-2lhm17bj","Soups",2,16,139,NA,"vegan",NA,55,NA,1,3,4,132
"39","01qa1tvm-94pkw-077462-pcbc9-zh8sn8xy","Soups",3,106,24,NA,"fish",NA,28,474.33,5,3.6,7,559
"40","01s0rmej-uvqm8-975056-8v55z-bf1byj0a","Starters",8,88,7,"medium","fish","advanced",10,387.83,2,3,4,490
"41","01uovjz3-8yazl-179576-xd9m2-2ug47zz5","Baking - savoury",13,148,35,"advanced","vegetarian","advanced",42,27.65,2,4,4,355
"42","01x1c330-277zl-270184-0c1hk-pq16aqs3","Baby food",31,72,133,"medium","fish","amateurchef",-9,NA,NA,NA,5,533
"43","01y3o30h-7ev0f-530927-wro2u-4sai6uv6","Main dishes - others",NA,27,52,"advanced",NA,"advanced",22,765.72,NA,NA,3,2460
"44","01y5dibm-yrima-137379-hacr6-a75zcbm9","Main dishes - fish",3,36,25,"easy","meat","advanced",-17,NA,2,3,4,586
"45","01zfh5wd-e4zs3-346026-ufxuj-xiu7iheu","Main dishes - meat",23,100,143,"advanced","vegan","chefcook",14,115.6,1,4,3,1484
"46","021myci2-8g96l-637025-8pha0-k0dows40","Drinks",42,NA,NA,"advanced","meat","chefcook",-3,412.29,2,1,6,1143
"47","025txihe-tv85e-435493-edbbl-afepjo7f","Sauces, dips & spreads",12,11,25,"easy",NA,NA,80,481.13,2,2,7,2163
"48","025zkhzl-2spt1-176969-svmph-o8fl5ln2","Main dishes - vegetarian",NA,145,2,"advanced","meat","beginner",26,738.34,2,2,3,2193
"49","02arlwu7-pe6qu-798124-2unhd-lb72w7ng","Drinks",7,87,NA,"medium","meat",NA,25,371.09,NA,NA,5,2356
"50","02f3j5zy-m0uz7-680631-2txzu-549j9sjr","Pasta & rice dishes",30,115,132,"easy","meat","advanced",35,417.4,NA,NA,4,2525
"51","02fmkf8f-zayls-375983-g4g35-jb2jnl8n","Breads & rolls",49,91,NA,"medium","fish","chefcook",-6,445.96,4,3.25,1,1368
"52","02gebwht-fvhjq-394816-bjhtu-htv3zwtx","Main dishes - others",50,58,37,NA,"meat","beginner",23,186.52,NA,NA,4,266
"53","02gtcpab-2upn8-794611-wxigo-ulnkp3j9","Main dishes - fish",3,125,26,"easy","vegetarian","amateurchef",69,463.19,4,4.25,8,2474
"54","02jfcqy0-edh6n-609944-er7c2-hrymwebu","Main dishes - others",15,75,50,"medium",NA,"beginner",52,25.32,NA,NA,3,2120
"55","02jrye1c-9r678-623974-glx9c-dfgjjdey","Baking - sweet",22,83,17,"medium","meat","amateurchef",-12,46.92,5,1.4,6,2083
"56","02maopuw-8rh68-600568-vr9u4-dwezm58n","Pasta & rice dishes",NA,97,123,"easy","fish","chefcook",32,642.33,1,3,5,1096
"57","02mqz8eo-t9o9v-432160-ytv0e-mo1luinq","Basics",45,147,108,"medium","meat","amateurchef",77,578.02,1,1,7,809
"58","02nanign-52kjr-505439-7z6tt-h1pgzf5q","Main dishes - vegetarian",44,66,28,NA,"vegetarian",NA,6,NA,1,4,2,819
"59","02pzkbr0-usxcu-170382-fwdts-h8xgrw2h","Drinks",31,136,98,"easy","meat","beginner",54,457.72,3,4,5,1862
"60","02qw0n2i-a705m-815349-bp3t4-mzuk0v00","Soups",32,123,27,NA,"fish","beginner",-8,359.88,1,3,3,608
"61","02sezd3r-emq26-535781-tjnb1-wpp16ki4","Basics",6,4,130,"easy","vegan",NA,86,407.4,2,2,4,1513
"62","02w0nvho-faqkf-068813-gwwwo-jd2h9ray","Soups",NA,117,76,"medium","vegetarian","amateurchef",36,379.46,2,3,4,1151
"63","030dd5j2-q23ue-216731-u7u2f-209u43qr","Pasta & rice dishes",46,91,82,"advanced","meat","advanced",39,264.69,2,3.5,5,1882
"64","0325elh2-2fe1p-427487-9i71x-m8tqabni","Main dishes - vegetarian",NA,118,140,"easy","vegetarian",NA,64,683.66,NA,NA,4,2560
"65","032vrh2b-yy29p-426894-j9rid-gi7ae2hu","Pasta & rice dishes",3,NA,17,"easy",NA,"beginner",47,132.68,3,3.66666666666667,4,1254
"66","034wqxxn-toyqr-901081-3f4wi-ss8ox6h7","Baking - sweet",NA,NA,139,"easy",NA,"amateurchef",50,230.27,1,2,3,1975
"67","037ny4qb-og06f-510055-w1skz-v0p5q6j9",NA,31,50,NA,NA,"vegan",NA,70,437.14,3,2.66666666666667,11,578
"68","038hvqa8-emeh5-097099-j1v0h-2yttv7a1","Side dishes",30,10,8,NA,"vegan","chefcook",32,197.49,NA,NA,3,1625
"69","03b8wv04-2p7xn-710776-8rhq8-26ziicnw","Main dishes - vegetarian",7,95,130,"easy","vegetarian","advanced",30,NA,1,4,4,372
"70","03cfr9vf-azdhd-107198-kx4cx-q8ozf3sn","Desserts & sweets",13,52,51,NA,NA,"advanced",86,210.7,2,2,3,1442
"71","03dc39s2-sb7oh-586998-bu394-v8a9uzuw","Side dishes",32,38,NA,"medium","fish","amateurchef",4,608.73,1,5,6,762
"72","03ftgbie-rmkg3-842723-52kzy-6twsmwdj",NA,50,95,23,"advanced","fish","chefcook",30,285.81,2,3.5,2,2301
"73","03gkm5wv-cdru7-772022-lva5g-fa0j2num","Starters",27,108,28,"advanced","vegan","advanced",47,1005.81,4,3.25,6,1688
"74","03gqi6xq-0lrwh-985013-hensd-30tg9ezs","Side dishes",31,119,140,"advanced","vegetarian","beginner",22,54.18,1,4,3,1496
"75","03hofoy5-8ju7j-409693-uukpt-dh3qmvl4","Main dishes - others",22,57,1,"advanced",NA,NA,-4,375,2,3,5,1682
"76","03ivupbx-j4u9p-531189-1fvnc-58j3bl5x",NA,28,49,NA,"easy","vegan","chefcook",38,490.2,3,4,4,1122
"77","03iyd3de-lpsg5-358428-zz2yt-m4fckas5","Baking - savoury",42,147,125,NA,"vegan","amateurchef",11,NA,2,3.5,6,580
"78","03n3wnty-45oj9-992407-zt51y-c3gbzitn","Drinks",NA,97,50,"advanced","vegetarian","amateurchef",63,87.04,5,2.8,4,633
"79","03qz8jxh-pf0xp-439145-pbmtc-a09mf5wg","Baking - sweet",11,49,72,"advanced","vegetarian",NA,59,783.77,1,4,3,1058
"80","03rz32xr-cw7l9-918434-tt3j0-4jtjcfp4","Main dishes - others",4,NA,NA,"easy",NA,"chefcook",64,49.32,1,2,4,1931
"81","03s2qfk4-xpb4k-935569-cy8lc-5e8wr5sl",NA,34,103,22,"medium","vegan","advanced",-15,51.24,2,3.5,4,585
"82","03ttcacr-31kyr-505047-xq1wr-sytkot6l","Starters",50,58,21,"advanced","meat",NA,-8,298.26,NA,NA,1,2430
"83","03uootrw-8z1ya-740447-et3xl-836mh0tl",NA,37,NA,108,"advanced","fish","beginner",47,221.78,2,2.5,3,1630
"84","03v1gksl-tgcq8-896985-3u8es-y4gtnqy8","Soups",NA,75,139,"easy","fish","beginner",47,35.63,1,1,5,1203
"85","03xgx19r-51k1t-348257-nupbw-gfat89fp","Main dishes - meat",49,120,30,"advanced","meat",NA,50,NA,3,1.66666666666667,5,593
"86","03yd9sbv-25ddn-036172-pcjeq-4vikm77d","Side dishes",21,80,26,"advanced","fish","amateurchef",-5,400.52,2,4.5,4,708
"87","0445tjqe-gxu1w-254298-tn283-g6mdydmy","Sauces, dips & spreads",49,NA,18,"advanced","meat","amateurchef",57,NA,1,3,7,1246
"88","044salqd-227ey-622711-n4zm8-arkeadag","Starters",17,4,97,"advanced","vegan","beginner",10,807.72,1,1,5,2225
"89","0462nxe7-nlk2o-904837-sljfl-jfbk6pci","Main dishes - others",15,32,NA,"medium","fish","beginner",14,183.24,1,4,4,2550
"90","04drcbio-payy7-509690-rzuue-j1v5j1vf","Desserts & sweets",NA,61,38,"easy","fish","advanced",35,169.83,3,2.66666666666667,3,70
"91","04e0w5p1-ila1y-029377-jgwn2-kcjglagf","Baby food",31,63,135,"medium","meat",NA,32,765.24,3,3.66666666666667,5,1413
"92","04h3zj11-2rx0i-524950-t40xd-ehb6mn2g",NA,27,122,140,"medium","vegan","beginner",2,599.88,4,2.5,4,1917
"93","04i0d8uk-8dcgr-472040-j9vwc-obk27gh9","Breads & rolls",3,82,111,"medium","meat","beginner",47,NA,1,2,7,1095
"94","04ishvig-o5819-394746-sjupc-7upsse1w","Desserts & sweets",41,130,NA,"advanced","fish","beginner",68,477.73,2,3,2,2579
"95","04ixoaqx-6dvxw-903558-rtwq3-x5klf7m9","Soups",43,92,118,"advanced","vegan","chefcook",-31,190.21,2,2.5,9,1198
"96","04n8ckxs-2m6zr-970266-b7ujo-hsmhc6ye","Pasta & rice dishes",26,28,60,"advanced",NA,NA,77,104.52,4,2.75,6,2558
"97","04nb0y4k-cu32b-578616-qkbwl-hzmqr536","Sauces, dips & spreads",18,11,65,"advanced","vegetarian","beginner",1,1144.47,1,4,4,2279
"98","04qtdr3h-kirqs-559377-ymz2b-ht981ahw","Sauces, dips & spreads",3,76,23,"easy","vegetarian","beginner",67,NA,NA,NA,5,1992
"99","04qz75u6-jadjf-163147-z7eal-lsszppui","Drinks",21,6,NA,"advanced","fish","amateurchef",46,52.32,2,2,7,1543
"100","04rh7wi0-lju2d-221359-4s6e2-f05emedu","Desserts & sweets",16,79,NA,"easy","vegan","chefcook",15,239.9,4,4.5,3,63
"101","04rk8jkq-4mvih-015479-2n5uf-9xnikfw1",NA,NA,2,NA,"easy","fish","amateurchef",77,NA,1,4,8,826
"102","052xkc3e-ql02n-683380-gekdv-5tt4d2fw","Desserts & sweets",25,60,150,NA,"fish","advanced",31,250.24,1,1,6,2428
"103","055nynnx-f6vkr-534635-ve8pz-y97m45lm","Main dishes - meat",12,17,131,NA,"fish","beginner",68,NA,NA,NA,6,1179
"104","0594tvub-dilqh-831322-qpl65-7lss0qwz","Baking - savoury",36,44,29,"easy","vegan","chefcook",-6,939.32,3,3,4,1321
"105","059wtfex-oqu9p-209118-xrk0q-mg419ctn","Desserts & sweets",38,142,NA,"medium",NA,"beginner",68,157.79,NA,NA,8,650
"106","05co4rro-ajro4-597648-kbfny-9m4beoeq","Desserts & sweets",NA,118,4,NA,"meat","amateurchef",29,120,5,3.6,5,2319
"107","05d9bas1-rp830-631192-qup5t-5qgregcz",NA,31,53,81,NA,"meat","amateurchef",11,585.75,3,3.66666666666667,8,724
"108","05gwnbb6-gyr8l-188955-rx21m-y8wlq6ds","Main dishes - meat",NA,143,NA,"advanced","vegetarian","beginner",30,42.12,5,2.8,3,1354
"109","05hg1efw-vwg69-739578-exngm-kjldslos","Starters",42,NA,133,"easy","fish","chefcook",28,271.44,1,3,6,1385
"110","05hhdskw-ixa9p-440027-guras-n5gm31na","Breads & rolls",31,105,22,"advanced","vegetarian","beginner",84,175.69,3,2.33333333333333,4,1786
"111","05i1y9sj-o1766-315587-sbzku-unx4bnap",NA,23,100,129,"easy",NA,"advanced",30,917.19,4,4,5,1002
"112","05iguff7-w1obe-947493-o0bae-4umnxft2","Baby food",27,NA,24,"advanced","vegetarian","beginner",6,97.24,2,3.5,3,2455
"113","05laht2t-1omwm-786738-s1pwn-7x737cbb",NA,32,43,96,"medium","meat","advanced",39,212.25,NA,NA,3,2275
"114","05nghj7n-g3l3z-806040-gkeq5-txuy1yum","Pasta & rice dishes",21,112,10,NA,"meat","chefcook",17,315.84,2,1,8,2432
"115","05rsh07b-3t091-210318-3s965-umlosds5","Main dishes - others",13,127,100,"medium",NA,NA,55,319.67,1,5,4,935
"116","05t6yrrb-0zl7a-291734-dvr2h-s6rtw1sz","Main dishes - fish",48,45,75,NA,NA,NA,-29,290.11,1,4,4,1922
"117","05w7h96v-vbcsq-362039-honbm-4i4h5qjc","Baby food",14,7,70,"advanced","meat","chefcook",4,NA,2,3.5,NA,173
"118","05xfb9mi-9h4td-886979-31x7a-8b6omzeq","Baby food",50,108,148,NA,"vegan","beginner",79,NA,2,3.5,5,1006
"119","05y7md4d-fzp5f-690479-i2m0j-gj2a4k2m","Starters",10,35,108,NA,NA,"advanced",44,27.84,3,3,4,735
"120","05zhlbl5-4q9zf-093592-obdz4-628flilr","Starters",19,NA,2,"advanced","meat","advanced",-2,141.39,3,1.33333333333333,4,1807
"121","05zwoksb-1feh7-990435-3m5s4-8wroq6op","Main dishes - fish",44,80,44,"medium","meat","beginner",84,683.13,1,5,2,1102
"122","05zwr6q2-0ewie-871164-ovuhv-e1kjyfyf","Pasta & rice dishes",34,150,118,"advanced","vegan","chefcook",45,295.22,2,3.5,3,169
"123","060ezi0r-yb6f3-166577-4kwev-xppodn73","Main dishes - others",5,NA,33,"advanced","fish","advanced",14,366.01,1,2,6,1646
"124","060x1xzd-2l6ld-757775-q2mbh-sxoc9zqf","Pasta & rice dishes",9,3,18,NA,NA,"amateurchef",36,15.84,NA,NA,5,2528
"125","062vuhzx-chxws-054055-hx9g2-fczfvdch","Breads & rolls",41,83,94,"medium","meat","advanced",18,NA,NA,NA,3,2122
"126","06700m9j-4uazc-970165-wb7sp-m0mii0bh","Drinks",2,NA,92,"advanced","fish","amateurchef",36,468.28,3,3.66666666666667,2,1265
"127","068kdq84-18bog-845256-qj5yz-l8e8sh0g",NA,28,NA,NA,"easy","vegetarian","amateurchef",36,78.88,1,1,6,1219
"128","06azzjje-5bdnf-866481-ju0s4-eyus0vqq","Main dishes - others",19,45,37,"medium",NA,"chefcook",48,NA,1,3,5,1179
"129","06d1ttp4-fd2vs-248915-gahzw-4ayjvxp7","Main dishes - meat",10,94,150,"advanced","vegan","beginner",-10,476.11,1,1,2,713
"130","06d5lqom-oo4v1-528879-hk7u5-mhfanug4","Starters",31,75,44,NA,"meat",NA,15,381.63,3,2.66666666666667,5,1601
"131","06dfneap-7l4uj-918862-2s24e-7mupcfvr",NA,46,121,94,"advanced","meat","beginner",44,751.61,NA,NA,6,1093
"132","06dpwc2t-78d4v-081000-i7yzl-ez7lmtjq",NA,NA,108,85,"advanced","meat",NA,24,926.88,3,4,8,2315
"133","06e05xeu-3xbgn-966077-15ip6-bwahmczn","Pasta & rice dishes",49,NA,NA,NA,"vegan","advanced",54,581.72,3,3.66666666666667,5,2312
"134","06jw4h7g-rgj5m-120378-gdbig-3zi2ttny","Starters",39,NA,12,"advanced","vegetarian","beginner",33,NA,1,1,3,2361
"135","06jyio2n-r7jks-966960-n3lvm-sfugjkg3","Starters",31,60,49,"medium","vegetarian","advanced",47,242.99,1,5,2,1231
"136","06n453oq-u94lq-369174-1kpxi-uuwk3rws","Desserts & sweets",22,32,36,"advanced","vegan","amateurchef",79,NA,NA,NA,5,1301
"137","06tpa6on-36ici-040760-9hhug-e8ccs12u","Main dishes - others",NA,NA,85,"easy","vegan",NA,24,394.12,1,1,7,250
"138","06tujijz-snx3v-029527-zowvn-ho0k2qw3","Sauces, dips & spreads",17,35,36,"easy","vegan",NA,59,720.43,1,2,6,2383
"139","06ty9xfq-fd225-023257-0ub55-d1hgom42","Drinks",22,79,113,"easy","meat","beginner",57,209.5,2,2.5,4,1227
"140","06wpzvgg-k95nk-727394-0ne6b-goshv9bt","Drinks",47,NA,7,"medium","meat","advanced",30,415.41,3,4,7,2080
"141","06y4wp3b-ci950-794979-0p73j-2m4dv6s0","Main dishes - fish",48,7,107,"easy","fish","beginner",52,317.06,1,4,5,2067
"142","070vy377-ax234-585797-xzm9d-0l5orww7",NA,24,102,105,"easy","vegan","advanced",-23,381.36,2,2.5,5,631
"143","071hsvam-he4tp-959617-vy0a3-vrjjogc7","Drinks",33,104,80,"medium",NA,NA,15,265.89,2,2.5,4,1109
"144","075bphog-n1s2c-589587-hfzhx-vkf924r0","Main dishes - vegetarian",38,134,111,NA,"vegetarian","amateurchef",40,181.94,NA,NA,3,2266
"145","076e33uk-g12q7-705366-o9biu-2zozf4x2",NA,7,129,54,"easy","vegan","amateurchef",68,232.8,4,3.25,7,763
"146","077tj943-q4fr1-649816-f4t5a-ilfn9dtu","Breads & rolls",40,58,94,"medium","vegetarian","beginner",-8,223.96,NA,NA,11,1114
"147","077z6plv-hdi98-834418-2j7ck-fv6mw7ld","Sauces, dips & spreads",33,62,20,"easy","meat","chefcook",8,1095.36,2,2.5,8,862
"148","078wtx5m-qf732-255937-cavuj-943v8z4s","Baking - savoury",20,89,41,"medium","vegan",NA,28,28.8,2,4,5,55
"149","079m1fp1-zqqfs-211179-6l9f6-toq314o5","Baby food",13,NA,46,NA,"meat",NA,-5,1213.87,NA,NA,5,1464
"150","07ao4v3j-k2jm7-461300-1brwc-prtsgvgj",NA,6,50,129,"advanced","vegetarian","amateurchef",32,584.78,4,2.5,3,405
"151","07bbl8kn-d7z5j-165323-vbhd0-l3fxqdyo","Sauces, dips & spreads",44,50,58,"advanced","fish","amateurchef",47,198.51,NA,NA,6,233
"152","07diyo91-w94yz-058448-z1dbu-t7pe1w9x","Drinks",45,125,88,"medium","vegan","beginner",8,NA,2,4,4,1912
"153","07fl7ltf-mcvkw-150842-zsa8t-beprk0pg","Pasta & rice dishes",4,NA,136,"advanced","vegetarian","beginner",4,184.6,1,1,2,632
"154","07frvylz-y78x5-529514-pn18c-6in3h2w8","Sauces, dips & spreads",3,69,41,NA,"vegan","advanced",-24,800.3,NA,NA,6,2132
"155","07j9qb8m-j9ctk-384066-kv8w2-hkm9ikel","Baking - savoury",35,53,70,"easy",NA,"advanced",27,317.74,NA,NA,4,2468
"156","07m7mb2z-z752m-068079-4d9d2-acquxghp","Main dishes - others",13,79,21,"advanced",NA,"beginner",47,NA,2,3.5,2,676
"157","07mzeefq-a94k7-584705-1ky8r-7uq7hhpl","Basics",35,123,143,"advanced","meat","amateurchef",-14,160.41,1,3,8,1659
"158","07o8ojna-f8bgc-631607-ywoyx-hadwm479","Baking - savoury",NA,NA,26,NA,"vegan","chefcook",51,289,1,2,3,2344
"159","07p6f47v-d3moi-413547-wvfxq-hdgpdjru",NA,40,35,138,"medium","vegan","beginner",48,203.87,3,3,6,762
"160","07pqtc1i-d6uzn-200737-ulqen-geay8okw","Main dishes - others",11,52,18,"medium","meat","beginner",23,17.16,NA,NA,6,1411
"161","07vogm07-uo8wh-269039-m1m24-a2teh49l","Main dishes - meat",35,128,NA,"advanced","vegan",NA,77,524.51,2,3.5,1,69
"162","07vscxzp-qlipn-263544-1epz8-vq28t46d","Baking - sweet",24,68,70,NA,"vegan",NA,6,69.61,2,2.5,4,2488
"163","07vvmme7-tdwlt-971276-itm8y-83gniqa8","Breads & rolls",14,125,83,"medium","vegan","chefcook",21,NA,3,2.66666666666667,1,2240
"164","07xq1uj8-n4g5t-387886-n70bo-tzd98ex1","Starters",17,105,27,NA,"fish","beginner",52,291.37,4,3.25,2,2197
"165","07z59ls6-73qq1-171619-4yggl-i9df5qfp","Side dishes",41,18,NA,NA,"vegetarian","beginner",25,NA,NA,NA,4,499
"166","080mf11i-dv6sn-842381-o28qc-pkyj2p0h",NA,NA,32,32,"easy",NA,NA,24,12.96,1,1,1,35
"167","080y0d88-5931y-460947-aneq6-is2yxcp5","Starters",8,91,45,"medium","vegetarian","beginner",6,148.67,NA,NA,4,979
"168","08317fe0-kkbrv-188642-yjwd8-1990wdkd",NA,26,104,57,"easy","meat","beginner",23,458.1,2,4,4,839
"169","083dbnje-zch7o-348605-euvub-ofabnra5",NA,48,128,78,"medium","fish","advanced",92,71.41,2,3.5,4,2096
"170","084jxuf6-qy9c0-086792-vtcr6-0eaxmdu9","Pasta & rice dishes",22,107,NA,"medium","fish","advanced",50,759.74,3,3.33333333333333,3,2244
"171","084kkmp5-mftss-812058-z8zge-n8mdyqmd","Side dishes",41,61,NA,"medium","meat","chefcook",46,249.41,1,4,6,1140
"172","08afv6h1-kwced-954010-njbtd-xcvq01er",NA,NA,44,104,"easy","vegetarian","chefcook",46,237.74,1,5,3,112
"173","08d9pujz-cg2c5-212635-pk0bl-w4tkjbr7","Basics",28,27,30,"easy","fish","chefcook",59,193.73,3,4,6,2089
"174","08gpah4h-nezwl-974046-0k13z-0cmwmna2","Baking - savoury",38,115,NA,"medium",NA,"chefcook",-29,341.03,NA,NA,3,33
"175","08kke5b7-ezj07-506273-albcl-c0hsw2be","Main dishes - vegetarian",40,89,99,"medium","vegetarian","amateurchef",-2,NA,1,2,6,719
"176","08kpfutm-72j7g-131852-x2iex-1nnl8mbq","Desserts & sweets",28,8,70,NA,"fish","beginner",14,49.13,2,3,4,800
"177","08kwa254-jcosw-147872-m6a7n-lg4jy54u",NA,5,53,55,"easy","vegetarian","amateurchef",57,190.6,2,2.5,4,640
"178","08l90isw-458pz-969253-p2zn4-qu1klmf8","Breads & rolls",49,8,92,"advanced","vegetarian","beginner",8,10.08,2,2.5,6,533
"179","08mmmff6-hawlb-207559-oa3he-iacog66m",NA,5,120,110,"advanced",NA,NA,24,NA,2,1,5,539
"180","08owmn95-blil8-992436-ihbts-m8mfrlz3","Baby food",NA,NA,103,"medium","vegan",NA,-5,71.81,3,3.66666666666667,5,446
"181","08p2ycvp-wbwzm-956910-3sh8k-le1n66el","Pasta & rice dishes",31,75,123,"easy",NA,NA,24,783.88,3,3,1,1006
"182","08qpa8g1-auh29-296899-lhwik-2evk7c4c","Main dishes - fish",40,141,77,"advanced","meat",NA,59,246.86,1,3,6,1622
"183","08r62sg0-jdlk0-244298-fi1o5-sdbk0cc6","Main dishes - meat",9,59,81,NA,"fish","beginner",84,634.76,3,4.33333333333333,3,1103
"184","08r7qljd-31iqt-872562-xb4a4-zbuywyiz","Desserts & sweets",10,17,111,"easy","fish","advanced",5,NA,2,3,7,343
"185","08tyi3mj-kmyqy-169684-20qp0-1scy5fms","Baby food",48,69,56,"easy",NA,"chefcook",51,596.63,3,3.33333333333333,1,944
"186","08u3oa4t-bfsct-201964-p4xav-4ru15m80","Main dishes - others",NA,NA,29,"easy",NA,"amateurchef",11,NA,1,3,7,132
"187","08uq26z2-920e8-047983-urswu-0updntuw","Main dishes - vegetarian",43,43,70,"easy","vegan","advanced",35,473.88,4,3.5,3,2508
"188","08wisxb5-1cf3n-855591-rc14c-963domca","Breads & rolls",27,75,140,"medium",NA,"chefcook",51,435.51,1,2,3,2409
